id,statement,binary_label,subject,speaker
12517.json,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,True,"crime,diversity,homeland-security,terrorism",hillary-clinton
3910.json,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,True,candidates-biography,ted-nugent
12163.json,Youth unemployment in minority communities is about 40 to 45 percent.,True,"diversity,economy,jobs",peter-kinder
5383.json,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",False,"economy,labor,states,unions,workers",nicholas-kettle
8239.json,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,True,"small-business,taxes",rick-scott
10121.json,Says Mark Pryor votes with Obama 93 percent of the time.,True,"bipartisanship,voting-record",tom-cotton
2940.json,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",False,"health-care,pop-culture",walking-dead
12027.json,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,True,"military,voting-record",keep-promise-1-pac
5210.json,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",False,"energy,stimulus",national-republican-congressional-committee
7993.json,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,False,"abortion,pundits,women",rachel-maddow
11418.json,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,True,"diversity,economy,jobs",bernie-s
7990.json,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",False,"health-care,immigration",chain-email
12848.json,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,False,"iraq,military",katrina-pierson
4930.json,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,False,"health-care,states",rick-perry
13210.json,"Maggie Hassan raised tuition, making it the highest in America.",False,education,national-republican-senatorial-committee
10693.json,"We have towns in West Texas that are out of water, that are having to truck in water.",False,water,sid-miller
13077.json,"In Georgia, women earn 82 cents for every dollar earned by men.",True,"jobs,women",jim-barksdale
3283.json,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,True,immigration,david-raynor
12981.json,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",False,immigration,donald-trump
7548.json,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",True,"elections,population",battleground-texas
321.json,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",True,job-accomplishments,rudy-giuliani
1833.json,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",True,"education,message-machine,taxes",empower-texans
10829.json,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,False,"corrections-and-updates,crime,criminal-justice,sexuality",garnet-coleman
6161.json,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,False,"criminal-justice,terrorism",michael-opitz
2526.json,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,False,"economy,financial-regulation,message-machine",rick-scott
6697.json,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",False,"housing,message-machine-2012",mitt-romney
1738.json,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",True,"immigration,legal-issues",alfredo-gutierrez
7425.json,The only time in our history when the debt has been higher than this was the end of World War II.,True,debt,david-cote
10039.json,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,True,"deficit,federal-budget,health-care",barack-obama
3005.json,Says one out of three U.S. homeless men is a veteran.,False,"poverty,veterans",texas-veterans-commission
2109.json,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,True,energy,maurice-ferre
9613.json,"At some point in their lives, 99% of women use birth control.",True,sexuality,susan-happ
2044.json,"In Rick Perrys Texas, we import nurses ... from other countries.",True,health-care,bill-white
11657.json,There is a federal criminal law that says its a crime to transport dentures across state lines.,True,public-health,bob-goodlatte
11131.json,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,True,"crime,criminal-justice",cory-booker
767.json,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",False,taxes,joe-biden
2020.json,The insurance commissioner cant do squat about health care.,True,health-care,ralph-hudgens
4264.json,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,True,polls,mitt-romney
6359.json,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",False,"foreign-policy,history,military",mitt-romney
8931.json,Says David Jolly supports privatizing Social Security.,False,social-security,florida-democratic-party
7599.json,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",True,education,will-weatherford
7128.json,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,True,housing,national-association-realtors
4170.json,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",False,transportation,federal-transit-administration
10072.json,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",True,"income,message-machine-2014,poverty",alison-lundergan-grimes
10624.json,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",True,"foreign-policy,history,terrorism",mitch-mcconnell
7848.json,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",True,"candidates-biography,economy,pensions,retirement,state-finances,wealth,workers",frank-caprio
4456.json,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",True,jobs,david-scott
7467.json,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,True,"government-regulation,jobs,poverty,welfare",scott-walker
8654.json,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",True,"corporations,economy,health-care,public-health,workers",ron-johnson
9492.json,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",True,"elections,taxes",donna-brazile
6895.json,Says Obama promised unemployment would never go above 8 percent.,False,jobs,paul-ryan
6767.json,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,True,"foreign-policy,israel,message-machine-2012",adam-hasner
11043.json,"In a majority of states, you can now marry freely, but can still be fired for who you love.",True,"civil-rights,gays-and-lesbians,states",mark-pocan
4357.json,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,False,candidates-biography,blog-posting
162.json,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",False,job-accomplishments,joe-biden
12593.json,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",True,"economy,retirement",hillary-clinton
8164.json,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",True,medicaid,kathleen-sebelius
9500.json,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",True,education,republican-party-florida
4629.json,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",True,"jobs,labor,unions",dave-yost
10560.json,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,True,"education,technology,women",hillary-clinton
6777.json,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,False,"islam,message-machine-2012",government-not-god-pac
11385.json,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,True,"crime,guns",joe-scarborough
3836.json,Some neighborhood schools are closing.,True,"education,state-budget",texas-house-democratic-caucus
325.json,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,True,gays-and-lesbians,john-mccain
2555.json,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",True,"state-budget,taxes",marco-rubio
7803.json,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",False,"economy,jobs",rick-scott
11486.json,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",False,"foreign-policy,immigration,terrorism",sean-hannity
7324.json,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",False,"immigration,pundits",rush-limbaugh
4884.json,Newt Gingrichs immigration plan offers a new doorway to amnesty.,True,immigration,mitt-romney
8019.json,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",False,"disability,labor,states,workers",patricia-morgan
10947.json,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",True,"debt,federal-budget,taxes",dave-brat
12014.json,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,True,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record",hillary-clinton
13241.json,Donald Trump has said nuclear proliferation is OK.,True,nuclear,mark-warner
1835.json,Says the Arizona immigration law expressly bans racial profiling.,True,immigration,john-cornyn
11536.json,"On the VA: Over 300,000 veterans have died waiting for care.",False,"health-care,veterans",donald-trump
6827.json,Were now spending 42 percent of our economy on government.,True,"debates,federal-budget,government-efficiency",mitt-romney
5236.json,Rob Cornilles supports privatizing Medicare.,False,"medicare,message-machine-2012",democratic-congressional-campaign-committee
2869.json,We (Democrats) have made steady progress creating jobs and improving our schools.,True,"education,government-efficiency,job-accomplishments,jobs",armond-budish
3864.json,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,False,environment,jeff-kruse
13432.json,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,True,"crime,debt,federal-budget,social-security",americans-united-change
12237.json,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",True,"gays-and-lesbians,government-regulation,sexuality",paul-skip-stam
11582.json,Climate change is directly related to the growth of terrorism.,False,"climate-change,terrorism",bernie-s
4453.json,The jobs bill includes President Obamas tax on soup kitchens,False,"economy,jobs,taxes,workers",eric-cantor
6898.json,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,False,stimulus,paul-ryan
704.json,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,True,civil-rights,chain-email
10887.json,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",True,"city-government,crime,drugs,government-regulation,marijuana",robert-puente
4504.json,Says Rick Perry wrote a letter supporting Hillarycare.,False,health-care,ron-paul
1441.json,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",False,"health-care,pundits",nancy-pfotenhauer
12683.json,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,True,immigration,gary-johnson
7295.json,Says Chris Christie vetoed a jobs package of 30 bills.,True,jobs,stephen-sweeney
2576.json,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,True,"agriculture,job-accomplishments,message-machine",pat-quinn
2954.json,Barack Obama is in an economy thats only worsened since hes been president of the United States.,True,"bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers",matthew-dowd
81.json,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",True,immigration,rudy-giuliani
5288.json,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",True,"economy,job-accomplishments,jobs",one-new-jersey
8754.json,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,True,afghanistan,robert-gibbs
3776.json,Gas prices have gone up $2 since Obama took office.,True,"energy,gas-prices",michael-williams
1266.json,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",True,"health-care,medicare",americas-health-insurance-plans
8090.json,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",True,"children,crime,education",dream-defenders
13069.json,If Texas were a country our economy would rank # 10...in the WORLD.,True,"corrections-and-updates,economy,states",greg-abbott
8733.json,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",True,financial-regulation,wendy-davis
7785.json,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",True,social-security,marcy-kaptur
2802.json,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,True,"elections,taxes",americans-tax-reform
2269.json,The Republicans have 2 percent of the Muslim vote.,True,religion,tamara-holder
7243.json,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",True,criminal-justice,hank-johnson
3333.json,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",False,"energy,environment,military",chain-email
9289.json,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",True,"economy,jobs",facebook-posts
11731.json,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,True,"candidates-biography,congress,foreign-policy,history,terrorism",hillary-clinton
11844.json,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",True,"economy,income,workers",bernie-s
5312.json,David Dewhurst has a record of promoting an income tax.,False,taxes,ted-cruz
4368.json,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,True,"environment,income",vincent-barrella
1354.json,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",False,afghanistan,alan-grayson
6265.json,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,False,"economy,jobs",bill-johnson
13370.json,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,False,"corporations,economy,gays-and-lesbians,state-finances,states",john-skvarla
8766.json,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",True,"economy,jobs,labor,workers",rana-foroohar
2332.json,Milwaukee Mayor Tom Barrett has held the line on property taxes.,False,"job-accomplishments,taxes",barack-obama
9837.json,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",True,"campaign-finance,environment",nextgen-climate
4267.json,On how money from a possible lease of the Ohio Turnpike would be used,True,"infrastructure,transportation",john-kasich
1434.json,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",True,"economy,federal-budget",barack-obama
8050.json,"The president has had 1,540 of his nominations confirmed, only four defeated.",True,legal-issues,mitch-mcconnell
9672.json,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",False,"labor,public-safety",chris-moews
13380.json,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,True,"criminal-justice,government-regulation",robby-mook
6693.json,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,False,bipartisanship,mark-strama
827.json,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,True,taxes,joe-biden
1800.json,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",True,"kagan-nomination,military,abc-news-week",patrick-leahy
7754.json,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",True,"children,education,state-budget,state-finances",fix-austin-schools
10113.json,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",True,"education,federal-budget",democratic-senatorial-campaign-committee
3806.json,The Paul Ryan budget proposal would privatize Medicare.,True,"federal-budget,health-care,medicare",agenda-project
6881.json,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,True,"criminal-justice,education",steven-teske
5857.json,The United States imprisons more than any nation in the world.,True,criminal-justice,hank-johnson
11690.json,Says Marco Rubio is the one for an open border.,False,immigration,rand-paul
10570.json,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",True,"education,federal-budget",dave-brat
9881.json,Says cuts to Medicare affect people who have already paid in. We paid for it.,False,"federal-budget,health-care,medicare",national-republican-senatorial-committee
9133.json,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,False,"bipartisanship,campaign-finance,candidates-biography",kesha-rogers
4812.json,Twenty percent of housing in Portlands Pearl District is affordable.,True,"housing,infrastructure,taxes,urban",tom-hughes
4327.json,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",True,taxes,jeff-merkley
451.json,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,True,foreign-policy,barack-obama
4102.json,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,True,"jobs,unions",sheila-oliver
13026.json,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,False,veterans,donald-trump
1486.json,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",True,"homeland-security,terrorism,abc-news-week",dick-cheney
3391.json,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",True,"stimulus,taxes",national-republican-senatorial-committee
1226.json,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",True,taxes,michael-moore
11656.json,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",True,"corrections-and-updates,guns,homeland-security",hillary-clinton
240.json,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.,False,iraq,bill-richardson
5297.json,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,True,taxes,paul-sarlo
5813.json,"About 230,000 people that were on unemployment when I took office are not on unemployment now.",True,"economy,workers",rick-scott
7884.json,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.",False,"children,health-care,public-health,pundits",rush-limbaugh
2411.json,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,False,immigration,allen-west
11668.json,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,False,"corrections-and-updates,obama-birth-certificate",facebook-posts
490.json,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",False,economy,moveon
12446.json,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",True,"candidates-biography,women,workers",donald-trump
7233.json,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.",True,"crime,criminal-justice,women",gwen-moore
1775.json,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,True,"crime,homeland-security,legal-issues,terrorism,abc-news-week",rudy-giuliani
1347.json,On legalizing illegal immigrants.,True,immigration,lou-dobbs
534.json,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""",True,energy,john-mccain
5387.json,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",True,housing,doug-thomas
2248.json,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",True,"economy,federal-budget",steve-latourette
10356.json,The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.,False,"state-budget,state-finances,taxes",scott-walker
8385.json,Chris Christie has not increased the taxes on anyone.,True,taxes,kim-guadagno
7386.json,The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.,False,"agriculture,immigration,workers",marco-rubio
13293.json,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",True,medicare,ted-strickland
4893.json,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",True,education,thomas-brown
4896.json,Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.,False,"energy,message-machine-2012,taxes",us-chamber-commerce
9465.json,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,False,"energy,taxes,voting-record",scott-brown
7303.json,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.",True,"crime,criminal-justice,drugs,government-regulation,guns,public-safety",marco-rubio
6627.json,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,True,"health-care,history",julian-castro
5043.json,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,False,"animals,congress,history,polls",chain-email
10411.json,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.",True,"job-accomplishments,jobs",rick-perry
3809.json,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,False,"economy,health-care",rob-portman
3928.json,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.",False,"economy,health-care",michele-bachmann
135.json,"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""",False,legal-issues,rudy-giuliani
10580.json,Texas this fiscal year will have more money in reserve than the other 49 states combined.,False,"state-budget,state-finances,states",dan-patrick
7916.json,Immigrants are more fertile.,True,immigration,jeb-bush
1665.json,"The proposed education changes ""will not cut one teacher's pay.""",True,education,florida-chamber-commerce
1659.json,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,False,"health-care,states",rick-perry
8601.json,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.,True,"civil-rights,crime,guns",jerry-patterson
4347.json,We spend less on defense today as % of GDP than at any time since Pearl Harbor.,False,federal-budget,newt-gingrich
256.json,If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.,True,taxes,ron-paul
2750.json,"Says Scott Walker wants to ban common forms of birth control, including the pill.",True,"abortion,message-machine",tom-barrett
5388.json,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",True,"education,infrastructure",chris-thomas
9745.json,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",True,"iraq,terrorism",lindsey-graham
2722.json,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,False,"message-machine,social-security",national-republican-congressional-committee
1171.json,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,False,"health-care,pundits",rush-limbaugh
2011.json,There are mechanisms in place to shut down the Internet privately.,True,infrastructure,andrew-napolitano
8308.json,The American people support defunding Obamacare and oppose shutting down the government.,False,health-care,marco-rubio
7217.json,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,True,"federal-budget,social-security",marco-rubio
3730.json,The people of Rhode Island dont want same-sex marriage.,False,"civil-rights,gays-and-lesbians,marriage,polls",christopher-plante
3672.json,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",True,"deficit,federal-budget,medicare,taxes",gerry-connolly
6318.json,This year in Congress (Connie Mack IV) has missed almost half of his votes.,False,candidates-biography,dave-weldon
10198.json,"1/3 of our kids drop out (of high school), cannot go to college or start a career.",False,"corrections-and-updates,education",jeb-bush
9960.json,Not even old Gen. Eisenhower saluted military personnel as president.,False,"history,military",rachel-maddow
12581.json,"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",False,"guns,terrorism",john-garamendi
2143.json,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",True,"crime,economy,education,poverty",peter-kilmartin
8405.json,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",True,"debt,federal-budget",roger-williams
11196.json,Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.,False,financial-regulation,marco-rubio
2917.json,You cant check out a library book without a photo ID.,False,legal-issues,david-dewhurst
11555.json,Says that Starbucks took Christmas off of their brand new cups.,False,religion,joshua-feuerstein
10449.json,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,True,sports,bill-belichick
2060.json,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",True,"economy,government-efficiency,job-accomplishments",joe-biden
4687.json,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,True,"economy,job-accomplishments,state-finances",josh-mandel
7210.json,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",True,"sports,state-finances",nathan-deal
5235.json,"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.",True,"corrections-and-updates,economy,jobs",barack-obama
8210.json,"Every year, more than $40 million are leaving Missouri for the Lone Star State.",True,economy,rick-perry
12185.json,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,True,"debt,economy,education",bill-clinton
1192.json,The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,True,history,john-boehner
10295.json,"We are younger than our competitors, and this is entirely because of immigration.",True,immigration,barack-obama
4332.json,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,True,education,chip-rogers
11215.json,"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",True,criminal-justice,julius-jones
